rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
795,Revlon,855,"$2,694 ",15.40%,($183.20),-,"$3,057 ","$1,085 ","7,800",Debra G. Perelman,Vice Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,-,New York,NY,40.7127753,-74.0059728
796,Syneos Health,,"$2,672 ",65.90%,($138.50),-222.90%,"$7,286 ","$3,713 ","21,000",Alistair MacDonald,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Raleigh,NC,35.7795897,-78.6381787
797,Public Storage,794,"$2,669 ",4.20%,"$1,442.20 ",-0.80%,"$10,733 ","$34,885 ","5,600",Ronald L. Havner Jr.,Chairman &  Chief Executive Officer,Financials,Real estate,-,Glendale,CA,34.1425078,-118.255075
798,TTM Technologies,800,"$2,659 ",4.90%,$124.20 ,256.30%,"$2,782 ","$1,582 ","29,000",Thomas T. Edman,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Costa Mesa,CA,33.6412156,-117.9188221
799,Vectren,820,"$2,657 ",8.50%,$216.00 ,2.10%,"$6,239 ","$5,310 ","5,500",Carl L. Chapman,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Evansville,IN,37.9715592,-87.5710898
800,Trimble,844,"$2,654 ",12.40%,$121.10 ,-8.50%,"$4,298 ","$8,920 ","9,523",Steven W. Berglund,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Sunnyvale,CA,37.36883,-122.0363496
801,NOW,910,"$2,648 ",25.70%,($52.00),-,"$1,749 ","$1,104 ","4,463",Robert R. Workman,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Houston,TX,29.7604267,-95.3698028
802,Spirit Airlines,860,"$2,648 ",14.00%,$420.60 ,58.80%,"$4,144 ","$2,577 ","6,100",Robert L. Fornaro,Chairman &  Chief Executive Officer,Transportation,Airlines,-,Miramar,FL,25.9860762,-80.3035602
803,ASGN,822,"$2,626 ",7.60%,$157.70 ,62.20%,"$1,810 ","$4,272 ","3,800",Peter T. Dameris,Chief Executive Officer &  Director,Business Services,Temporary Help,-,Calabasas,CA,34.1367208,-118.6614809
804,Lincoln Electric Holdings,868,"$2,624 ",15.40%,$247.50 ,24.80%,"$2,407 ","$5,902 ","11,000",Christopher L. Mapes,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH,41.49932,-81.6943605
805,Prologis,801,"$2,618 ",3.40%,"$1,652.30 ",36.60%,"$29,481 ","$33,578 ","1,565",Hamid R. Moghadam,Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
806,Range Resources,,"$2,611 ",137.40%,$333.10 ,-,"$11,729 ","$3,614 ",773,Jeffrey L. Ventura,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Fort Worth,TX,32.7554883,-97.3307658
807,Teledyne Technologies,900,"$2,604 ",21.10%,$227.20 ,19.00%,"$3,846 ","$6,682 ","10,340",Robert Mehrabian,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,-,Thousand Oaks,CA,34.1705609,-118.8375937
808,Vishay Intertechnology,858,"$2,604 ",12.10%,($20.30),-141.70%,"$3,459 ","$2,682 ","23,000",Gerald Paul,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Malvern,PA,40.0362184,-75.5138118
809,Boston Properties,796,"$2,602 ",2.00%,$462.40 ,-9.80%,"$19,372 ","$19,018 ",740,Owen D. Thomas,Chief Executive Officer,Financials,Real estate,-,Boston,MA,42.3600825,-71.0588801
810,Applied Industrial Technologies,806,"$2,594 ",2.90%,$133.90 ,352.80%,"$1,388 ","$2,819 ","5,554",Neil A. Schrimsher,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Cleveland,OH,41.49932,-81.6943605
811,Graham Holdings,813,"$2,592 ",4.40%,$302.00 ,79.20%,"$4,938 ","$3,312 ","16,153",Timothy J. O�Shaughnessy,"President, Chief Executive Officer &  Director",Business Services,Education,-,Arlington,VA,38.8816208,-77.0909809
812,Amica Mutual Insurance,834,"$2,590 ",8.00%,$96.10 ,-38.90%,"$6,355 ",-,"3,693",Robert A. DiMuccio,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),-,Lincoln,RI,41.9110123,-71.4418101
813,Concho Resources,,"$2,586 ",58.20%,$956.00 ,-,"$13,732 ","$22,409 ","1,203",Timothy A. Leach,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,Midland,TX,31.9973456,-102.0779146
814,ITT,830,"$2,585 ",7.50%,$113.50 ,-39.00%,"$3,700 ","$4,343 ","10,000",Denise L. Ramos,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,White Plains,NY,41.0339862,-73.7629097
815,Kansas City Southern,854,"$2,583 ",10.70%,$962.00 ,101.20%,"$9,199 ","$11,320 ","7,130",Patrick J. Ottensmeyer,"President, Chief Executive Officer &  Director",Transportation,Railroads,-,KCMO,MO,39.0997265,-94.5785667
816,MDC Holdings,857,"$2,578 ",10.80%,$141.80 ,37.40%,"$2,780 ","$1,567 ","1,491",Larry A. Mizel,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,-,Denver,CO,39.7392358,-104.990251
817,Evergy,793,"$2,571 ",0.30%,$323.90 ,-6.50%,"$11,624 ","$7,480 ","2,205",Terry D. Bassham,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Topeka,KS,39.0473451,-95.6751576
818,Pinnacle Entertainment,840,"$2,562 ",7.70%,$63.10 ,-,"$3,950 ","$1,753 ","15,377",Anthony M. Sanfilippo,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.1699412,-115.1398296
819,Hawaiian Electric Industries,839,"$2,556 ",7.30%,$165.30 ,-33.40%,"$13,100 ","$3,742 ","3,880",Constance H. Lau,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Honolulu,HI,21.3069444,-157.8583333
820,TEGNA,671,"$2,550 ",-23.70%,$273.70 ,-37.30%,"$4,962 ","$2,456 ","5,283",David T. Lougee,"President, Chief Executive Officer &  Director",Media,Entertainment,-,McLean,VA,38.9338676,-77.1772604
821,Southwest Gas Holdings,817,"$2,549 ",3.60%,$193.80 ,27.50%,"$6,237 ","$3,259 ","7,771",John P. Hester,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Las Vegas,NV,36.1699412,-115.1398296
822,Vista Outdoor,872,"$2,547 ",12.20%,($274.50),-286.70%,"$2,977 ",$936 ,"6,400",Christopher T. Metz,Chairman &  Chief Executive Officer,Household Products,Miscellaneous,-,Farmington,UT,40.9804999,-111.8874392
823,Bon-Ton Stores,779,"$2,541 ",-5.00%,($90.70),-,"$1,587 ",$1 ,"23,300",William X. Tracy,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,-,York,PA,39.9625984,-76.727745
824,Super Micro Computer,884,"$2,530 ",14.20%,$69.30 ,-3.70%,"$1,489 ",$828 ,"2,699",Charles Liang,"Chairman, President &  Chief Executive Officer",Technology,"Computers, Office Equipment",-,San Jose,CA,37.3382082,-121.8863286
825,Plexus,795,"$2,528 ",-1.10%,$112.10 ,46.60%,"$1,976 ","$2,012 ","16,000",Todd P. Kelsey,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Neenah,WI,44.1858193,-88.462609
826,TrueBlue,766,"$2,509 ",-8.80%,$55.50 ,-,"$1,109 ","$1,063 ","5,500",Steven C. Cooper,Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Tacoma,WA,47.2528768,-122.4442906
827,Magellan Midstream Partners,889,"$2,508 ",13.70%,$869.50 ,8.30%,"$7,394 ","$13,315 ","1,802",Michael N. Mears,"Chairman, President &  Chief Executive Officer",Energy,Pipelines,-,Tulsa,OK,36.1539816,-95.992775
828,Toro,836,"$2,505 ",4.70%,$267.70 ,15.90%,"$1,494 ","$6,621 ","6,779",Richard M. Olson,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,-,Bloomington,MN,44.840798,-93.2982799
829,Akamai Technologies,851,"$2,503 ",7.00%,$218.30 ,-30.90%,"$4,603 ","$12,069 ","7,650",F. Thomson Leighton,Chief Executive Officer &  Director,Technology,Internet Services and Retailing,-,Cambridge,MA,42.3736158,-71.1097335
830,Moog,828,"$2,498 ",3.50%,$141.30 ,11.50%,"$3,091 ","$2,949 ","10,675",John R. Scannell,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,-,Elma Center,NY,42.8212288,-78.6341996
831,Vertex Pharmaceuticals,,"$2,489 ",46.20%,$263.50 ,-,"$3,546 ","$41,379 ","2,300",Jeffrey M. Leiden,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,-,Boston,MA,42.3600825,-71.0588801
832,Equity Residential,825,"$2,471 ",1.90%,$603.50 ,-85.90%,"$20,571 ","$22,687 ","2,683",David J. Neithercut,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Chicago,IL,41.8781136,-87.6297982
833,Selective Insurance Group,865,"$2,470 ",8.10%,$168.80 ,6.50%,"$7,686 ","$3,566 ","2,260",Gregory E. Murphy,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),-,Branchville,NJ,41.1464852,-74.7523874
834,AptarGroup,856,"$2,469 ",5.90%,$220.00 ,7.00%,"$3,138 ","$5,600 ","13,200",Stephan B. Tanda,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Crystal Lake,IL,42.2411344,-88.3161965
835,Benchmark Electronics,863,"$2,467 ",6.80%,($32.00),-149.90%,"$2,097 ","$1,455 ","10,600",Paul J. Tufano,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Scottsdale,AZ,33.4941704,-111.9260519
836,Columbia Sportswear,841,"$2,466 ",3.70%,$105.10 ,-45.20%,"$2,213 ","$5,351 ","6,188",Timothy P. Boyle,"President, Chief Executive Officer &  Director",Apparel,Apparel,-,Portland,OR,45.5122308,-122.6587185
837,A. Schulman,811,"$2,461 ",-1.40%,$33.00 ,-,"$1,754 ","$1,270 ","4,900",Joseph M. Gingo,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,-,Fairlawn,OH,41.127833,-81.609844
838,Verso,786,"$2,461 ",-6.80%,($30.00),-,"$1,732 ",$580 ,"4,200",B. Christopher DiSantis,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Miamisburg,OH,39.6428362,-84.2866083
839,Digital Realty Trust,901,"$2,458 ",14.70%,$248.30 ,-41.70%,"$21,404 ","$21,701 ","1,429",A. William Stein,Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
840,GNC Holdings,797,"$2,453 ",-3.40%,($148.90),-,"$1,517 ",$323 ,"11,500",Kenneth A. Martindale,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Pittsburgh,PA,40.4406248,-79.9958864
841,E*Trade Financial,930,"$2,452 ",21.00%,$614.00 ,11.20%,"$63,365 ","$14,692 ","3,607",Karl A. Roessner,Chairman &  Chief Executive Officer,Financials,Securities,-,New York,NY,40.7127753,-74.0059728
842,Hovnanian Enterprises,765,"$2,452 ",-10.90%,($332.20),-,"$1,901 ",$271 ,"1,905",Ara K. Hovnanian,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Red Bank,NJ,40.3470543,-74.0643065
843,Maximus,832,"$2,451 ",2.00%,$209.40 ,17.40%,"$1,351 ","$4,353 ","20,400",Bruce L. Caswell,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Reston,VA,38.9586307,-77.3570028
844,Twitter,802,"$2,443 ",-3.40%,($108.10),-,"$7,413 ","$21,784 ","3,372",Jack Dorsey,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,-,SF,CA,37.7749295,-122.4194155
845,Par Pacific Holdings,974,"$2,443 ",31.00%,$72.60 ,-,"$1,347 ",$784 ,905,William C. Pate,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,-,Houston,TX,29.7604267,-95.3698028
846,Parexel International,824,"$2,442 ",0.60%,$107.30 ,-30.70%,"$2,313 ",-,"18,900",Jamie Macdonald,Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Waltham,MA,42.3764852,-71.2356113
847,RH,902,"$2,440 ",14.30%,$2.20 ,-59.60%,"$1,733 ","$2,050 ","4,750",Gary G. Friedman,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Corte Madera,CA,37.9254806,-122.5274755
848,Nexstar Media Group,,"$2,432 ",120.40%,$475.00 ,418.90%,"$7,482 ","$3,066 ","8,737",Perry A. Sook,"Chairman, President &  Chief Executive Officer",Media,Entertainment,-,Irving,TX,32.8140177,-96.9488945
849,Knight-Swift Transportation Holdings,586,"$2,426 ",116.90%,$484.30 ,416.00%,"$7,683 ","$8,199 ","25,300",David A. Jackson,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Phoenix,AZ,33.4483771,-112.0740373
850,Red Hat,920,"$2,412 ",17.50%,$253.70 ,27.30%,"$4,535 ","$26,464 ","10,500",James M. Whitehurst,"President, Chief Executive Officer &  Director",Technology,Computer Software,-,Raleigh,NC,35.7795897,-78.6381787
851,Belden,846,"$2,389 ",1.40%,$93.20 ,-27.20%,"$3,841 ","$2,891 ","8,800",John S. Stroup,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",-,St. Louis,MO,38.6270025,-90.1994042
852,Boyd Gaming,894,"$2,384 ",9.10%,$189.20 ,-54.70%,"$4,686 ","$3,589 ","19,707",Keith E. Smith,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.1699412,-115.1398296
853,Primoris Services,938,"$2,380 ",19.20%,$72.40 ,170.80%,"$1,256 ","$1,287 ","7,102",David L. King,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Dallas,TX,32.7766642,-96.7969879
854,Gardner Denver,,"$2,375 ",22.50%,$18.40 ,-,"$4,621 ","$6,051 ","6,400",Vicente Reynal,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Milwaukee,WI,43.0389025,-87.9064736
855,Donaldson,882,"$2,372 ",6.80%,$232.80 ,22.00%,"$1,980 ","$5,851 ","13,200",Tod E. Carpenter,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Minneapolis,MN,44.977753,-93.2650108
856,Party City Holdco,866,"$2,372 ",3.90%,$215.30 ,83.30%,"$3,455 ","$1,504 ","14,600",James M. Harrison,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Elmsford,NY,41.0550969,-73.8201337
857,J.Crew Group,826,"$2,370 ",-2.30%,($125.00),-,"$1,201 ",$0 ,"8,950",James W. Brett,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,New York,NY,40.7127753,-74.0059728
858,EnerSys,861,"$2,367 ",2.20%,$160.20 ,17.70%,"$2,293 ","$2,907 ","9,400",David M. Shaffer,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",-,Reading,PA,40.3356483,-75.9268747
859,Guess,887,"$2,364 ",7.90%,($7.90),-134.70%,"$1,656 ","$1,667 ","14,700",Victor Herrero,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Los Angeles,CA,34.0522342,-118.2436849
860,Patterson-UTI Energy,,"$2,357 ",157.30%,$5.90 ,-,"$5,759 ","$3,892 ","8,000",William A. Hendricks Jr.,"President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",-,Houston,TX,29.7604267,-95.3698028
861,WGL Holdings,848,"$2,355 ",0.20%,$192.60 ,14.90%,"$6,626 ","$4,296 ","1,586",Terry D. McCallister,Chairman &  Chief Executive Officer,Energy,Energy,-,Leavenworth,WA,47.7510741,-120.7401385
862,Wolverine World Wide,812,"$2,350 ",-5.80%,$0.30 ,-99.70%,"$2,399 ","$2,753 ","3,700",Blake W. Krueger,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,-,Rockford,MI,43.1200272,-85.5600316
863,Xilinx,885,"$2,349 ",6.10%,$622.50 ,13.00%,"$4,741 ","$18,408 ","3,831",Victor Peng,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA,37.3382082,-121.8863286
864,Vornado Realty Trust,809,"$2,345 ",-6.60%,$227.40 ,-74.90%,"$17,398 ","$12,786 ","3,989",Steven Roth,Chairman &  Chief Executive Officer,Financials,Real estate,-,New York,NY,40.7127753,-74.0059728
865,Middleby,873,"$2,336 ",3.00%,$298.10 ,4.90%,"$3,340 ","$6,896 ","8,493",Selim A. Bassoul,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Elgin,IL,42.0354084,-88.2825668
866,MPM Holdings,879,"$2,331 ",4.40%,$0.00 ,-,"$2,717 ","$1,282 ","5,200",John G. Boss,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Waterford,NY,42.7925777,-73.6812293
867,Cleveland-Cliffs,907,"$2,330.20 ",10.50%,$367.00 ,110.80%,"$2,953.40 ","$2,067 ",2938,Lourenco C. Goncalves,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Cleveland,OH,41.49932,-81.6943605
868,GGP,849,"$2,328 ",-0.80%,$657.30 ,-49.00%,"$23,350 ","$19,581 ","1,700",Sandeep Mathrani,Chairman &  Chief Executive Officer,Financials,Real estate,-,Chicago,IL,41.8781136,-87.6297982
869,Cypress Semiconductor,959,"$2,328 ",21.00%,($80.90),-,"$3,537 ","$6,021 ","6,099",Hassane El-Khoury,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA,37.3382082,-121.8863286
870,Arch Coal,946,"$2,325 ",17.70%,$238.50 ,-,"$1,980 ","$1,913 ","3,790",John W. Eaves,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,St. Louis,MO,38.6270025,-90.1994042
871,GMS,976,"$2,319 ",24.80%,$48.90 ,289.10%,"$1,393 ","$1,254 ","4,464",G. Michael Callahan Jr.,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Tucker,GA,33.8545479,-84.2171424
872,Waters,899,"$2,309 ",6.50%,$20.30 ,-96.10%,"$5,340 ","$15,553 ","7,000",Christopher J. O'Connell,Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",-,Milford,MA,42.1398577,-71.5163049
873,H.B. Fuller,913,"$2,306 ",10.10%,$58.20 ,-53.10%,"$4,361 ","$2,513 ","5,965",James J. Owens,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,St Paul,MN,44.9537029,-93.0899578
874,Affiliated Managers Group,892,"$2,305 ",5.00%,$689.50 ,45.80%,"$8,702 ","$10,331 ","4,400",Nathaniel Dalton,Chairman &  Chief Executive Officer,Financials,Securities,-,West Palm Beach,FL,26.7153424,-80.0533746
875,PerkinElmer,875,"$2,301 ",1.80%,$292.60 ,24.90%,"$6,092 ","$8,367 ","11,000",Robert F. Friel,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Waltham,MA,42.3764852,-71.2356113
876,Edgewell Personal Care,845,"$2,298 ",-2.70%,$5.70 ,-96.80%,"$4,189 ","$2,636 ","6,000",David P. Hatfield,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,-,Chesterfield,MO,38.6631083,-90.5770675
877,Maxim Integrated Products,891,"$2,296 ",4.60%,$571.60 ,151.30%,"$4,570 ","$16,935 ","7,040",Tun� Doluca,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA,37.3382082,-121.8863286
878,Knights of Columbus,880,"$2,290 ",2.80%,$108.10 ,21.90%,"$24,954 ",-,926,Carl A. Anderson,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",-,New Haven,CT,41.308274,-72.9278835
879,IDEX,906,"$2,287 ",8.20%,$337.30 ,24.40%,"$3,400 ","$10,916 ","7,167",Andrew K. Silvernail,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Lake Forest,IL,42.2586342,-87.840625
880,DST Systems,847,"$2,284 ",-3.00%,$451.50 ,5.70%,"$2,938 ","$4,962 ","14,200",William C. Stone,CEO-SS& C Technologies Holdings,Business Services,Financial Data Services,-,KCMO,MO,39.0997265,-94.5785667
881,Chicos FAS,814,"$2,282 ",-7.80%,$101.00 ,10.70%,"$1,088 ","$1,152 ","12,350",Shelley G. Broader,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,-,Fort Myers,FL,26.640628,-81.8723084
882,Nu Skin Enterprises,888,"$2,279 ",3.20%,$129.40 ,-9.50%,"$1,590 ","$3,888 ","48,700",Ritch N. Wood,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,-,Provo,UT,40.2338438,-111.6585337
883,Herman Miller,874,"$2,278 ",0.60%,$123.90 ,-9.40%,"$1,306 ","$1,907 ","7,478",Brian C. Walker,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",-,Zeeland,MI,42.8125246,-86.018651
884,NLV Financial,943,"$2,275 ",14.40%,$259.90 ,66.60%,"$30,209 ",-,"1,065",Mehran Assadi,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",-,Montpelier,VT,44.2600593,-72.5753869
885,Curtiss-Wright,908,"$2,271 ",7.70%,$214.90 ,14.70%,"$3,236 ","$5,976 ","8,600",David C. Adams,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,-,Charlotte,NC,35.2270869,-80.8431267
886,New Jersey Resources,970,"$2,269 ",20.60%,$132.10 ,0.30%,"$3,929 ","$3,513 ","1,052",Laurence M. Downes,"Chairman, President &  Chief Executive Officer",Energy,Energy,-,Wall Township,NJ,40.1606666,-74.0679753
887,REV Group,957,"$2,268 ",17.70%,$31.40 ,3.90%,"$1,254 ","$1,341 ","7,800",Timothy W. Sullivan,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Milwaukee,WI,43.0389025,-87.9064736
888,Mueller Industries,919,"$2,266 ",10.20%,$85.60 ,-14.20%,"$1,320 ","$1,505 ","4,125",Gregory L. Christopher,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Memphis,TN,35.1495343,-90.0489801
889,GEO Group,895,"$2,263 ",3.90%,$146.20 ,-1.70%,"$4,227 ","$2,531 ","18,512",George C. Zoley,Chairman &  Chief Executive Officer,Business Services,Miscellaneous,-,Boca Raton,FL,26.3683064,-80.1289321
890,Allison Transmission Holdings,984,"$2,262 ",22.90%,$504.00 ,134.50%,"$4,205 ","$5,404 ","2,700",David S. Graziosi,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Indianapolis,IN,39.768403,-86.158068
891,OGE Energy,876,"$2,261 ",0.10%,$619.00 ,83.00%,"$10,413 ","$6,544 ","2,413",Sean R. Trauschke,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Oklahoma City,OK,35.4675602,-97.5164276
892,Cheesecake Factory,867,"$2,261 ",-0.70%,$157.40 ,12.80%,"$1,333 ","$2,213 ","39,100",David M. Overton,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Calabasas,CA,34.1372953,-118.6541895
893,PRA Health Sciences,,"$2,259 ",24.70%,$86.90 ,27.50%,"$3,358 ","$5,292 ","15,800",Colin Shannon,"Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Raleigh,NC,35.7795897,-78.6381787
894,Tupperware Brands,886,"$2,255.80 ",1.90%,($265.40),-218.70%,"$1,388 ","$2,473 ",12000,Patricia A. Stitzel,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,-,Orlando,FL,28.5383355,-81.3792365
895,Euronet Worldwide,950,"$2,252 ",15.00%,$156.80 ,-10.10%,"$3,140 ","$4,058 ","6,600",Michael J. Brown,"Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,Leawood,KS,38.966673,-94.6169012
896,FLEETCOR Technologies,988,"$2,250 ",22.80%,$740.20 ,63.60%,"$11,318 ","$18,186 ","7,890",Ronald F. Clarke,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Norcross,GA,33.969864,-84.2212938
897,Nationstar Mortgage Holdings,852,"$2,247 ",-4.00%,$30.00 ,57.90%,"$18,036 ","$1,755 ","7,600",Jay Bray,"Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,-,Coppell,TX,32.9545687,-97.0150078
898,GoDaddy,980,"$2,232 ",20.80%,$136.40 ,-,"$5,738 ","$10,315 ","5,990",Scott W. Wagner,Chief Executive Officer,Technology,Internet Services and Retailing,-,Scottsdale,AZ,33.4941704,-111.9260519
899,Blackhawk Network Holdings,966,"$2,232 ",17.50%,($155.80),-3444.10%,"$4,140 ","$2,529 ","3,190",Talbott Roche,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,-,Pleasanton,CA,37.6624312,-121.8746789
900,Cboe Global Markets,,"$2,229 ",217.00%,$401.70 ,115.00%,"$5,266 ","$12,860 ",889,Edward T. Tilly,Chairman &  Chief Executive Officer,Financials,Securities,-,Chicago,IL,41.8781136,-87.6297982
901,Snyders-Lance,862,"$2,227 ",-3.80%,$148.50 ,897.60%,"$3,618 ",-,"5,900",Carlos Abrams-Rivera,President-Campbell Snacks,"Food, Beverages &  Tobacco",Food Consumer Products,-,Charlotte,NC,35.2270869,-80.8431267
902,Murphy Oil,972,"$2,226 ",18.80%,($311.80),-,"$9,861 ","$4,471 ","1,128",Roger W. Jenkins,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",-,El Dorado,AR,33.20763,-92.6662674
903,CDK Global,905,"$2,220 ",5.00%,$295.60 ,23.50%,"$2,883 ","$8,523 ","8,900",Brian P. MacDonald,"President, Chief Executive Officer &  Director",Technology,Computer Software,-,Hoffman Estates,IL,42.0629915,-88.1227199
904,Texas Roadhouse,942,"$2,220 ",11.50%,$131.50 ,13.80%,"$1,331 ","$4,123 ","29,524",W. Kent Taylor,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Louisville,KY,38.2526647,-85.7584557
905,Kirby,,"$2,214 ",25.10%,$313.20 ,121.50%,"$5,127 ","$4,592 ","5,775",David W. Grzebinski,"President, Chief Executive Officer &  Director",Transportation,Shipping,-,Houston,TX,29.7604267,-95.3698028
906,Square,,"$2,214 ",29.60%,($62.80),-,"$2,187 ","$19,501 ","2,338",Jack Dorsey,"Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,SF,CA,37.7749295,-122.4194155
907,Genesee & Wyoming,937,"$2,208 ",10.30%,$549.10 ,289.00%,"$8,035 ","$4,435 ","8,000",John C. Hellmann,"Chairman, President &  Chief Executive Officer",Transportation,Railroads,-,Darien,CT,41.0771914,-73.4686858
908,Zayo Group Holdings,,"$2,200 ",27.80%,$85.70 ,-,"$8,739 ","$8,474 ","3,794",Daniel P. Caruso,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,-,Boulder,CO,40.0149856,-105.2705456
